City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
34,odienne,9.51,-7.5692,39.16,12.0,45.0,2.73,CI,1681404504.0
35,castro,-24.7911,-50.0119,25.58,49.0,1.0,2.36,BR,1681404505.0
36,georgetown,5.4112,100.3354,29.97,84.0,20.0,3.6,MY,1681404294.0
37,kruisfontein,-34.0033,24.7314,17.71,88.0,7.0,6.33,ZA,1681404506.0
38,namatanai,-3.6667,152.4333,26.7,83.0,87.0,5.76,PG,1681404507.0
39,ushuaia,-54.8,-68.3,6.79,75.0,20.0,1.54,AR,1681404508.0
40,tual,-5.6667,132.75,28.22,74.0,72.0,1.33,ID,1681404508.0
41,lebu,-37.6167,-73.65,15.61,82.0,61.0,3.84,CL,1681404441.0
42,ixtapa,20.7,-105.2,24.57,61.0,20.0,1.54,MX,1681404509.0
43,greenlaw,55.7068,-2.4624,9.47,85.0,97.0,1.29,GB,1681404509.0
44,ahipara,-35.1667,173.1667,16.46,95.0,30.0,3.19,NZ,1681404509.0
45,marzuq,14.4,46.4667,24.07,66.0,30.0,5.25,YE,1681404510.0
46,mar del plata,-38.0023,-57.5575,16.57,66.0,75.0,6.69,AR,1681404220.0
47,boyolangu,-8.1181,111.8935,24.29,89.0,100.0,1.84,ID,1681404511.0
49,joacaba,-27.1781,-51.5047,28.77,35.0,20.0,1.83,BR,1681404511.0
